code,role,label,ontology_id,conf,freq_hint
C01,CRITERION,Acute somatic symptom intensity and frequency,somatic_symptom_severity_elevated,0.72,
C02,CRITERION,Distress from symptom unpredictability,catastrophizing_thoughts_about_symptoms,0.62,
C03,CRITERION,Threat interpretation of bodily sensations,catastrophizing_thoughts_about_symptoms,0.85,
C04,CRITERION,Low acceptance of medical reassurance / perceived invalidation,doctor,0.75,
C05,CRITERION,Avoidance of leaving home / travel avoidance,avoidance_of_public_transport_outdoors_without_company,0.72,
C06,CRITERION,Interoceptive hypervigilance (attention to bodily sensations),hypervigilance_to_body_sensations,0.88,
C07,CRITERION,"Functional and emotional impact (annoyance, fear-driven interference)",distress_or_impairment_from_somatic_symptom,0.72,
P01,PREDICTOR,Threat interpretation reframing (cognitive appraisal target),threat_appraisal_reframe,0.92,
P02,PREDICTOR,Interoceptive exposure engagement / interoceptive calibration,interoceptive_exposure_framework,0.92,
P03,PREDICTOR,Medical reassurance integration,reduce_reassurance_seeking_and_checking,0.46,
P04,PREDICTOR,Avoidance/activation engagement (graded exposure),graduated_exposure_principles,0.85,
P05,PREDICTOR,Distress tolerance coping engagement,distress_tolerance_toolkit,0.66,
