t_index,date,P01,P02,P03,P04,P05,P06,C01,C02,C03,C04,C05,C06,C07
0,2025-01-01,,0.3763010241306644,0.496900036343718,,0.5374728152578881,,3.79500687584684,4.971835399208863,4.266899060985969,5.572153769928875,4.715728341350175,6.642741468566225,5.858997195376822
1,2025-01-02,,0.38956117260788053,0.508818696170066,0.4237611841949631,0.5528581312037242,,,,3.9611932380172603,5.983028471604468,4.706473999378346,7.058320049452527,6.14839581358582
2,2025-01-03,0.20872451273362552,,0.4676266746244943,0.2161362322196556,0.516623111758095,0.5020942652395691,4.429495072422639,6.557081459952258,3.6447926809427487,5.409081196059276,4.675153070305087,,
3,2025-01-04,0.32994970033811655,0.40162996272409646,0.4532725781373633,0.0989732470956967,0.5177819846968933,0.5151900263480685,,5.80909968297507,3.0790821763609593,5.5271400618178985,5.1936978492694985,7.240133999867009,7.60717673851184
4,2025-01-05,0.34403395514532475,0.4065131195252191,,0.13372812280235136,0.4380849608412173,0.4410727373021998,3.566212913130251,4.650734630049701,,5.2812521980117095,5.327861663173274,6.325500925365591,6.742282577275636
5,2025-01-06,0.2367303008981731,0.4445437183437563,0.39851001934284996,0.0,0.5054770886101072,,6.859459981496187,,,4.978993793575259,3.840193508820807,5.687453004385101,6.536660113683469
6,2025-01-07,0.14649237803333043,0.20843512217069865,0.3273828536284035,0.0,0.5459370004304953,0.39683771618327857,4.2035543290987345,3.8254825198905675,3.243884891113856,,4.221763126757044,5.565607880108537,6.805059888470427
7,2025-01-08,0.11644659521665521,0.3649927673017739,0.413146784895308,0.01723735685166692,0.6638404139150034,,3.2011450713504477,3.6899327018596546,,4.286096602903961,4.552413150041009,,6.584972232022562
8,2025-01-09,0.10949078242844076,0.39247293332123373,,,0.6532900668026991,0.24898098921106085,,3.474340942243276,3.662763487822226,3.5570672637724727,4.759921863995338,4.677976304874183,5.946445268497991
9,2025-01-10,,0.38306695043291616,0.6141635936930765,0.13276161773760017,0.6168641926602473,0.23303791000753318,3.3962263691473487,3.62431759657281,2.597458055315448,2.653413636330968,3.8989510867324224,4.121290030570229,5.726389895280115
10,2025-01-11,0.3422547884550239,0.34143979074253444,,,0.6301421246589038,0.34955030142769594,,,,3.333261488877742,4.424726076803019,3.6334316450160036,
11,2025-01-12,0.2565240902990848,,0.48431037178899683,0.19349127079210182,0.6323337217258506,0.2921538076652569,3.1434839589447523,3.7294241463046762,4.2171503437182505,3.79117677865422,4.192646455049399,2.920886965403992,
12,2025-01-13,0.14725799396984443,,0.381381873447821,0.1920696588740507,0.7218396327211132,0.17233622828186188,2.824192050287027,3.628544703549702,,3.6888285243485286,4.155341506215171,,5.830391285442229
13,2025-01-14,0.11502449360236054,0.4344373261300858,0.3086045202601185,0.16594617005552822,0.7192517778770045,0.2555739554568862,2.858180051571217,3.6251838066759676,3.802374651379409,4.759174065484765,5.00543613703976,,5.687763111297502
14,2025-01-15,,0.1581617075842374,0.1612458962316265,0.07795470987344547,0.6557979912510126,0.17894891227261644,3.1280053536003853,,4.06974549386514,5.043247511945205,5.78716392065822,,6.38646682938906
15,2025-01-16,0.1991468648329131,0.1715270744547228,0.16897164858909786,0.13475963759611892,0.41018220863109356,0.23541253290645883,2.3525312782015497,,,,6.247129343139446,,6.169402291261038
