code,role,label,ontology_id,conf,freq_hint
C01,CRITERION,Reduced tolerance for ambient noise,self_reported_distress_to_sound,0.72,
C02,CRITERION,Acute urge to escape noisy situations,urge_to_escape_trigger_sounds,0.92,
C03,CRITERION,Avoidance of common noisy contexts,avoidance_of_noise_exposure,0.72,
C04,CRITERION,Physiological hyperarousal when exposed,physiological_arousal_to_trigger_sounds,0.76,
C05,CRITERION,Cognitive overwhelm / difficulty processing,cognitive_load_management,0.62,
C06,CRITERION,Perceived social invalidation,interpersonal_rejection_sensitivity,0.78,
C07,CRITERION,Functional interference with daily tasks and social participation,functional_impairment_in_social_or_professional_domains_due_to_sound,0.82,
P01,PREDICTOR,Sleep circadian entrainment,morning_bright_light_exposure,0.72,
P02,PREDICTOR,Arousal regulation / distress tolerance,breathing_to_downshift_arousal,0.82,
P03,PREDICTOR,Exposure-based noise tolerance planning,exposure_hierarchy_construction,0.62,
P04,PREDICTOR,Environmental sensory accommodations use,noise_reduction_measures,0.68,
P05,PREDICTOR,Social support / accommodation planning,social_support_mobilization,0.72,
P06,PREDICTOR,Mindfulness-based sensory grounding,grounding_five_senses_practice,0.74,
