code,role,label,ontology_id,conf,freq_hint
C01,CRITERION,Chronic baseline back pain intensity/frequency,pain_intensity_0to10,0.44,
C02,CRITERION,Pain flare-up frequency and acute intensity,pain_fluctuation_with_psychosocial_stressors,0.66,
C03,CRITERION,Future-oriented catastrophic belief (permanence),pain_catastrophizing_elevated,0.72,
C04,CRITERION,Low mood / feeling very down during flares,depressed_mood_related_to_pain,0.65,
C05,CRITERION,Irritability linked to pain flare-ups,mood_disturbance_associated_with_pain,0.72,
C06,CRITERION,Reduced optimism / diminished hope about future,hope,0.74,
C07,CRITERION,Perceived control / coping self-efficacy for managing pain,self,0.65,
P01,PREDICTOR,S01: Cognitive Reappraisal and Behavioral Experiments for Pain Catastrophizing,cognitive_reappraisal_practice,0.82,
P02,PREDICTOR,S02: Pain Coping Self-Efficacy Skill-Building,self_efficacy_building_practice,0.72,
P03,PREDICTOR,S03: Graded Exercise and Activity Pacing with Pain Flare Monitoring,graded_task_assignment,0.62,
P04,PREDICTOR,S04: Sleep Hygiene and Circadian Regulation Plan,daylight_exposure_planning,0.74,
P05,PREDICTOR,S05: Social Support Enhancement and Social Prescribing,conflict_repair_and_reengagement_support,0.66,
P06,PREDICTOR,S06: Mindfulness-Based Pain Modulation (MBPM),pain_mindfulness_practice,0.84,
P07,PREDICTOR,S07: Meaning/Value-Driven Goal Setting and Hope Enhancement,meaning_and_purpose_checkin,0.75,
