code,role,label,ontology_id,conf,freq_hint
C01,CRITERION,Recurrent headache episodes,headache_frequency_increase,0.66,
C02,CRITERION,Headache intensity/unpleasant sensory quality,pain_intensity_moderate_to_severe,0.72,
C03,CRITERION,Acute mood collapse in response to pain,mood_disturbance_associated_with_pain,0.75,
C04,CRITERION,Behavioral avoidance of social plans,social_avoidance_behavior,0.66,
C05,CRITERION,Guilt after cancelling / self-blame,guilt,0.78,
C06,CRITERION,Subjective social isolation / reduced social contact,social_withdrawal,0.64,
C07,CRITERION,Reinforcing pain–shame cycle (maintenance loop),shame,0.62,
P01,PREDICTOR,Behavioral Activation for social engagement,implementation_intention_activation,0.72,
P02,PREDICTOR,Sleep regularity and circadian optimization,sleep_tracker_wrist_wearable,0.79,
P03,PREDICTOR,Moderate aerobic activity,exercise_type_and_perceived_exertion_log,0.72,
P04,PREDICTOR,Mindfulness-based intervention,pain_mindfulness_practice,0.72,
P05,PREDICTOR,Pain education + coping skills,coping_with_stress_without_use,0.72,
P06,PREDICTOR,Cognitive restructuring to reduce self-blame,self_critical_thought_restructure,0.78,
P07,PREDICTOR,Social prescribing & community engagement,social_prescribing_assessment,0.72,
