code,role,label,ontology_id,conf,freq_hint
C01,CRITERION,Evening-onset persistent bleak/empty mood,diurnal_mood_variation,0.62,
C02,CRITERION,Low outward emotional expression (non-crying distress),socially,0.62,
C03,CRITERION,Prolonged passive smartphone use in evenings,neglect_of_other_activities_due_to_phone,0.78,
C04,CRITERION,Perceived low energy / high effort barrier to other activities,fatigue_or_low_energy_summer,0.68,
C05,CRITERION,Avoidant coping function of phone use,coping_strategies,0.7,
P01,PREDICTOR,Evening_Behavioral_Activation_Schedule,behavioral_activation_routine_embedding,0.65,
P02,PREDICTOR,Evening_ScreenTime_Reduction,home_screen_deemphasis_and_app_hiding_strategy,0.78,
P03,PREDICTOR,Morning_Light_Exposure_and_Sleep_Wake_Stability,morning_bright_light_exposure,0.83,
P04,PREDICTOR,Sleep_Routine_Consistency,sleep_diary,0.78,
P05,PREDICTOR,Evening_Social_Engagement,activity_engagement_tracking,0.65,
