P01,P02,P03,P04,P05,P06,P07,P08,C01,C02,C03,C04,C05,C06
0.3679724103879155,0.404715743709935,0.3560117637404749,0.4717553108602285,0.4611424353722261,0.8694260123725919,0.7657962304527572,0.208532755645783,5.029378381912447,5.057900726514423,5.451172538148996,4.359238287636721,4.768774035722784,
0.4608287186702412,0.3610259960948355,0.3600219214136005,0.5077150549259558,0.3920156502155356,0.7287112188622351,0.6533675557138086,,4.161651502257985,5.39347604472272,4.277914938533325,4.127540187169137,4.3642018773744455,4.898949094890631
0.5631189807621402,0.444009729944161,0.3024716428705298,0.496322433816285,0.2097729405432751,0.6081624533359073,,0.1915099066114491,4.018387725477828,4.121548159937111,2.7879081427651293,3.613069117608474,4.411461406511663,4.26355941134835
0.4809686044026178,0.4859347174044331,0.3084109973793191,0.4834982008439119,0.0367781800982377,0.5040509458031086,0.5958329247479137,0.1517217611026041,3.1830122271261465,3.7352404474162735,2.011613501948166,3.2036820340295833,3.747546042279998,3.855041549167692
0.4312771333353471,0.5151747245918147,0.3824091468640954,0.386949832767437,0.0,0.5936755218382032,0.4245105827023077,0.2068061607346651,3.0543634090268776,3.1448533338866564,1.8324597706030183,3.1403069376662676,3.724574920573247,3.2279632899161443
0.362640460512969,0.6185910306769508,0.3494894560173867,0.4709397443092363,0.0182759359556921,0.5867338725203997,0.2536986028249057,,3.0887079265747444,3.6002245049396104,1.9898134814066408,,3.848493275543301,3.880895908213792
0.3801918641282986,0.6807386195306432,0.2223880921216936,0.4309419944425384,0.0,0.5805683543006444,0.2473480451082508,0.0,3.4212685792776845,,2.294862144649312,2.6128195633517977,4.210742562543133,3.7949259741354657
0.3807808072261173,0.6703721847612591,0.3218577391063057,0.5202447217900702,0.0858861859521671,0.6306990611575682,0.2125453740939969,,2.31873570498026,,3.2982917135727767,2.481169498299413,4.828700773793804,4.729175386837448
0.4386591911255346,0.5466852374707982,0.3508599561980018,0.6285640910224657,0.1098960026492461,0.6175351363435746,0.3888184438204679,0.0039330598545769,1.6325211545632945,3.2041918655546535,2.3425504994633357,2.4655966746425633,3.810156547797849,4.463683839550974
0.5308115652792427,0.5158226666735682,0.3876626357550294,0.6196451413585059,0.1083519790534303,0.7287096607715489,,0.119218042457804,1.8902616621242536,3.520330388834939,2.565832849158499,2.7438013270798134,3.600815415421892,3.5787642997823923
0.3913264788638622,0.5762707276882256,0.4860629024266416,0.4518271643833715,,0.6085598655589439,0.0960798816109544,0.0846782179627727,1.9289938202219108,,2.152245330928854,2.0229519772872067,,3.031391299256703
,0.5897892189193422,0.4506640222615185,0.3205076430625279,0.2224301930810829,0.5674368151181397,,0.0422889877634629,2.5705759251261036,2.7382707145631953,2.066040893239903,2.085202426371348,,3.048522756237242
0.4264399316772631,0.5882124386178879,0.2769978612347139,,0.2376659804088413,0.4863742946507702,0.1283719305075322,0.0,2.6528144508435445,2.9008222136665003,2.4891908959527673,1.6046654922957435,,3.4424177979011685
0.3410410308703007,0.5501094571631708,0.1471181753635383,0.2098575117621137,0.2219089958563517,0.568174752431968,0.2070630048323342,0.0985220787264659,3.2701240088501917,2.64327925335636,2.9644541773491673,1.7284125648703297,,
0.248220069536797,0.7065934165540372,0.1014395652625379,0.3052578833762576,0.2124448966842686,0.4140227038440451,0.2184597880470264,0.1051241560760178,3.7205684262473544,2.1669524355915484,3.3749067207321564,1.3558708848526344,,
0.4463726131683915,0.7189183944588742,0.2624595742055147,0.3844530618204645,0.3450744302461046,0.4427954783614709,0.3471915618032264,0.0600235528698403,3.711206489177125,,2.441560328199203,,,4.428404679705047
0.460690354485157,0.7036469099484789,0.2434875870119591,0.363427888885143,0.2817794226543573,0.3982157356968812,,0.1853449585595465,,2.7971236496765863,2.9889465966013606,1.3241729050714264,2.6164441933475544,3.797485396237549
0.2524521512431639,0.844206633898792,0.1985892612085846,0.4715048346694366,0.3148583921961711,0.4112707417930454,0.1489051600511417,,3.929102322422788,2.682489762223114,2.0941060922493744,1.884880961390484,3.0763539564204434,4.200194869053211
0.2408409854005348,0.7011411045504112,0.1508186159108074,0.3014180738369021,0.237906735103422,0.3565436079695855,0.0917389928508145,0.1805415546369453,3.3736687888954293,2.7318490133205433,2.6844366748011277,2.6197848235238004,3.5160913450606963,4.7075839160129345
0.350964870811785,0.680892567670787,0.2242124058488958,0.1277549892250877,0.1663099986419836,0.2938017612437059,0.1034728320213389,0.0,2.583920217589792,,2.63991968846846,2.9418530502586595,3.3382457236723693,
0.2868235237985412,0.4922670439241115,0.1834527420151774,0.2106217441087128,0.1650798626364625,0.364042075343676,0.090824055679726,0.1079405333559999,2.6008073676256083,2.9863227105700347,,3.9161612698291672,3.3824617971499324,
0.2609236631198385,0.4144524333298297,0.179434414127506,0.1826430604724185,,0.3731368069543309,0.0,0.2595987081939639,3.158401757930169,2.2563398761305447,3.045005831841022,4.329232807745714,1.9342455417726885,
,0.4343350613710016,0.2990846835238158,0.2221360662268418,0.4568298250752555,,0.0167191897358438,0.0614569605797481,3.5786010469562743,2.0642598341600173,3.189200654624463,3.797574470717482,,
,0.5800670702077115,0.3977192323667236,0.0174561713177777,0.3327642545939238,0.2651128724760504,0.0429648648017237,0.2285795961234904,,1.890974314255304,3.4448785145218386,4.583168499301634,3.2905333527398346,
,,0.5277241003905881,0.1180432299158961,0.4962207279528647,0.3471617124948796,0.0,0.1631316538374975,3.141729579021399,,3.7023044621456647,4.569194967213885,3.591411005281156,5.790203283408452
,0.576479274592321,0.469269304427359,0.1100984329742869,,0.2960299089036908,0.0835026945965781,0.1732323291305201,2.956810241583124,2.2971090718694827,3.310059821119325,4.184309989732659,3.098734536912809,
,0.6018577542063458,0.4058865075655721,0.0533302824549932,0.3918693474236992,0.3183796792901572,0.0516891758566989,0.3401857331726574,2.7208768740000027,1.4934779575956676,3.8400382879554273,,2.9108310194569,5.888257593319834
,0.6358381606793532,0.310287669944995,0.282507403773155,0.4248901436359502,0.238211453426439,0.0299755702588732,0.360154248544519,2.945619461161986,2.184854366565356,3.5518378995430204,2.620886549964795,3.1474472067341033,5.0205443043605396
0.0,0.8215687596507986,0.3011694768549741,0.182397917884677,0.310826188735133,,0.0,0.3909079242384066,2.5207147143064974,2.154186439784578,3.3065690872490223,3.03032041150984,3.0695603786767793,5.089118763989036
0.0,0.654645245576863,0.3536174414528096,0.2547357724734152,0.2600920607747638,0.2481629212076977,0.0,0.3136589073804158,3.0938168276059295,2.6368645626715153,2.814717811985348,2.281875624854757,2.6629917215729093,6.051273648458761
0.0,,,,,0.1147375846470776,0.0,,3.2885474753597657,,4.114703642717124,2.635189729478849,2.9315130888921836,
0.0202859350535588,0.5923565261677571,0.6703212869057603,0.3333205037832772,,0.2803121171094961,0.0,0.3616407553314298,4.108450557610373,3.795145065859445,3.563701140957231,1.8995833910270536,3.503455989482656,5.134408772697936
0.2041601242929639,0.6320973073271433,0.5801327065195124,0.226457928034611,0.1341223437476956,0.3032039255343038,0.0217089123683725,0.1272760299348534,3.9398545357566497,3.5563671763401654,3.948533081837336,2.311946332294902,,
0.2050756294700678,0.7057549871999363,0.6943614664274634,0.2922345869188423,0.2632200449938757,0.3219410343137099,0.0,,3.711533705815405,4.459824596053299,3.7247085071867954,2.2203494250089797,3.186170879560291,
0.0747160779175871,0.6852751316979766,0.5874695465214673,0.3512992221403302,0.3131529863631726,0.387350405799468,0.0163973263317043,0.1918222158151108,3.6521398551434063,4.320056203063042,4.610819842179451,1.825918214098345,3.536286826784228,
,0.684734818697059,0.5875963860538342,0.3684324777890517,0.2617974646513032,0.3973113291401286,0.0,0.1094862893095883,3.165331110024128,3.057294303627666,4.773366416372101,2.709754158220366,3.4736859063792807,
0.2415746852084421,0.6423066779004805,0.5043919106059893,0.2955040538424514,0.1842040044329036,0.3809242968391625,0.0,,2.771789097140436,2.482449221706211,3.731967040661449,2.410283357073576,,
0.1210352576383962,,0.4716395144326533,0.3130956628165584,0.4398579339326379,,0.0,0.379338148952465,1.7577120175877616,3.2134182851541806,2.5942218797370193,1.9106616023088163,3.072412078927494,
0.1825792261868779,0.4410643969237255,0.3853470269411389,0.329726543057521,0.3942973646414837,0.4945308828499243,0.0720785113244742,0.3931754248744417,1.6976543677486189,2.7384975417207205,2.226818814472929,2.414446029756765,,
0.1694051289818151,0.4889653996081282,,0.3142117736269755,0.3125321833578143,0.4646508480157992,0.0,0.3755770661835488,1.695645051510891,1.616088751491477,3.28815952388747,2.6712750619114476,3.482466914413985,3.4733178255275856
0.1255865563266132,0.378120034102257,0.4004498914167404,0.2552767756447432,0.3079037339027092,,0.0,0.2684888863866,2.0840379804654265,2.2561596118375515,3.0506699698776516,1.992548063816149,3.905600882049976,
0.2432651397841757,0.3032134287925752,0.2784527357198751,0.0730201139089736,0.1908886218370382,0.3560231438980093,0.0,0.2126788318105783,2.5123808097221447,2.5798117434572116,2.695079216951627,2.038301916476266,4.2501021972368465,3.351809271312214
,0.4154598669362456,0.3818704318256728,0.0756460820319906,0.1572823933037655,0.4868964714474456,0.0,0.3061950518512858,2.6286465370712153,1.644631992236592,2.260457273355665,1.4889730113530335,,4.372789805461393
,0.3521475993517955,0.6930565588529636,0.3148939135467552,0.2238032403985346,0.3562015271976836,0.0411613921001632,0.2616094827079263,3.084017690032451,,2.8925216403395737,1.1974233060318276,3.5678616082995043,4.835828186718475
0.36350350928424,0.2086710281379424,0.7103798386826797,0.292344897431202,0.1553541497638728,0.3760041209969137,0.0549420784399696,0.4062356459275291,3.1563403782608015,0.3229734585229242,2.1993721421995094,0.8854905019325251,3.056653045428299,
0.292511343310994,0.2157033089172141,0.6379484541788777,0.5492879286612268,0.2520462379251634,0.2891188397908094,,0.4037540598905691,3.1184308875491773,,2.4884922050965983,,3.971298374518343,4.794499603128276
