code,role,label,ontology_id,conf,freq_hint
C01,CRITERION,Failure to initiate intended task,initiation_difficulty,0.92,
C02,CRITERION,Substitution with low-effort rewarding activities,engaging,0.72,
C03,CRITERION,Susceptibility to distraction by digital/novel stimuli,easy_distraction_by_extraneous_stimuli,0.66,
C04,CRITERION,Loss of time awareness during off-task activity,present_moment_expansion,0.68,
C05,CRITERION,Acute panic/anxiety when deadlines are noticed,panic_like_symptoms_in_queue_exposure,0.55,
C06,CRITERION,Uncertainty and self-blame about cause of difficulties,negative_attribution_style,0.62,
P01,PREDICTOR,Implementation Intentions for Task Initiation,implementation_intention_ifthen_plans,0.72,
P02,PREDICTOR,Structured Focus Blocks with Timers,time_blocking_for_valued_actions,0.8,
P03,PREDICTOR,Digital Distraction Reduction and Workspace Optimization,environmental_stimulus_minimization_strategy,0.88,
P04,PREDICTOR,Time-Perception Calibration and Time Awareness Training,time_estimation_strategy_training,0.92,
P05,PREDICTOR,Deadline Anxiety Reduction via Cognitive Restructuring,time_projection_reappraisal,0.75,
P06,PREDICTOR,Self-Compassion and Uncertainty Processing,compassionate_self_talk,0.72,
P07,PREDICTOR,Behavioral Activation with Micro-Tasks,behavioral_activity_planning_system,0.78,
P08,PREDICTOR,Social Accountability and Support Network,accountability_partner_matching_workflow,0.72,
