t_index,date,P01,P02,P03,P04,P05,P06,P07,P08,C01,C02,C03,C04,C05,C06
0,2025-01-01,0.5046241545978026,0.8127999835600697,0.23629382544535277,0.8970737450370512,0.6868504211635007,0.41685520498632345,0.3262519545873035,,3.967974604021194,4.327239758313662,3.794093001590202,,,4.11709053840825
1,2025-01-02,0.5062786246755848,0.8973950860558917,0.37225227857333565,0.7181608912030037,0.5946251226684242,0.3613769435766956,0.3696312249562489,,4.272384860065897,4.073093971668649,4.414390840824753,5.182617230491276,5.372714350213358,3.7960786296196574
2,2025-01-03,0.41395830584727694,0.8898234190687453,0.516600394193871,0.5318302842655676,,0.38101186292321276,0.4883317721523722,,4.6584473881879935,4.070185439413218,3.81945052063126,5.06657940329556,4.882685216362543,3.6617903363460798
3,2025-01-04,0.31724753986565335,0.6751043155565911,0.48503059180761604,0.4051740431544182,0.6856893397488539,0.3987543758863069,0.5637179468955509,,4.88711731573297,4.321652871176307,3.4650840547941097,3.8856079147691682,4.96044472724602,4.379226572156185
4,2025-01-05,0.06325393558103329,,0.3997596070492547,0.33545738558608534,0.6287187764710904,0.35734428567082066,,,4.659485234779781,4.120022641550041,,,4.846964017574841,4.282378268414582
5,2025-01-06,0.0,0.46824968361744085,0.3976520959871328,0.2278499336938246,0.7265879141798797,,0.4151230075395613,,4.427713824121344,3.887344887196638,,3.484602895759598,,4.290210596676098
6,2025-01-07,0.0,0.4641856090920192,,0.14531585755088264,0.5433912307265717,0.24418967748074893,0.4477222309488903,,4.652928668509038,4.059075619025425,,4.067552447118893,5.478264225243014,3.7481039253769404
7,2025-01-08,0.17365425532209383,0.511019866200402,,0.017251713065187385,0.6228897516563605,0.27749018239608597,0.3711192771867433,,5.111727381480089,3.9224485313168294,3.7711267181878783,4.396389393117747,,
8,2025-01-09,,0.6419935883717232,,0.0,0.6380009553439023,0.3714412468810342,0.29237532517898485,0.0262648116120557,5.264872278217012,2.747671245985013,4.214952481746018,4.068958594691921,5.224915828713065,3.7798232141298773
9,2025-01-10,0.31641271164883866,0.5883431366905713,0.38772213129038235,0.0,0.737147772943996,0.5039930355467834,0.0,0.20928399155975402,4.418807344358553,3.067553681958582,3.438787539817673,4.280976710604178,,3.1979217148383197
10,2025-01-11,0.19205943123640534,0.3290795440481762,0.5032822476649769,0.0,0.6808154669198652,0.3363893107881829,0.0,0.0718482646034562,4.213122359926335,2.6650377317768954,3.515452463650359,,4.594311812218469,3.7320921874502297
11,2025-01-12,0.028834890659979823,0.4066808572236065,0.4102487783155646,0.0,0.5100163458028334,0.3705894910645495,0.0,0.07313304615583827,4.010828164719192,2.2526630968098473,3.696678332566462,,4.321671211871292,4.1754582394422775
12,2025-01-13,0.0,0.2881697537648753,0.5362945642445534,0.020330201560724848,0.389010887386789,0.43201798396050595,0.0,,4.194326913219161,2.7747120793171,3.76654945106742,3.022932247003258,4.653061071466157,3.7749741814843834
13,2025-01-14,0.10674682077574676,0.07957755905285319,0.642651042291938,0.18715647703893964,0.28368578460099564,,0.04289950085411566,0.20959843284914825,3.246809623485922,3.156480734146399,4.114425662659784,3.395353382373883,4.417605523225428,3.504940253543949
14,2025-01-15,,0.02822692638836584,0.6236670438096075,0.15499011054502757,0.3292131197537751,0.432748056331992,0.05197747360180885,,,2.773336950922908,4.073222186190445,2.837592757782291,4.375195389907162,2.8090548617352398
15,2025-01-16,,0.0,0.7637663593514133,0.14205403419101195,0.15516814926388545,0.5068913370626611,0.0667695112537623,0.2350036474630487,2.048557847653583,2.257445245293364,4.2505912748800805,1.9488601343683944,4.203428108275665,2.600532976878751
16,2025-01-17,,0.0,0.6161191234743874,0.1977512038937777,0.2618792467488377,0.4857662034595313,0.011366611423036618,0.03394435534676468,1.1398834528311226,2.0807804419838316,3.7192741023271214,1.564480924447948,3.942340516550522,3.342748231178231
17,2025-01-18,0.1962595895078355,0.021353974851170715,0.48419727575296373,0.22720710021995702,0.35561090531616607,0.4922352534477263,0.09385221481090014,0.0,1.8313601693351949,,,1.4066205877940268,3.4586477286454413,2.8313918768457462
18,2025-01-19,0.28663661684078034,0.0,0.4474837591465549,0.40109272060255075,0.3380511794279885,0.5152452114157939,0.09482665073815824,0.0410152939868047,2.001014141833285,2.8000533265490413,2.4749135569784135,3.0337937940530146,2.570309621811634,2.5617965610561955
19,2025-01-20,0.31279062865859736,0.0,0.46797362007733806,0.23062465772131935,0.30458378084264087,0.4943356939764697,0.10694114468060673,0.12031003733241175,1.7070048275443797,2.8431707766810677,2.837927806091967,3.493975188160533,2.4134779984420764,2.6868404425162473
20,2025-01-21,0.3288197045669329,0.0,0.43130480503216134,0.2698603945214696,0.39428094925350676,,0.31742966100318626,0.12911823528003638,2.0363733053043114,3.416783191757544,2.893701947760925,3.673465868446629,2.81558736721739,3.250035161419937
21,2025-01-22,0.1902910275178752,0.0,0.3379437245388196,0.2668159027108325,0.24863885151772971,0.4084937416399964,0.3143665174130153,0.22588350731600168,2.2487748647449854,4.40192164223729,2.7667436966502335,3.426414844429235,,3.917752514377854
