code,role,label,ontology_id,conf,freq_hint
C01,CRITERION,Failure to accept memory of locking,impaired_ep,0.78,
C02,CRITERION,Compulsive checking repetitions,door_lock_verification_repetition,0.82,
C03,CRITERION,Difficulty resisting the urge to re-check,repetitive_checking_behaviors,0.62,
C04,CRITERION,Time cost (lateness),adhering,0.66,
C05,CRITERION,Embarrassment in social context,social_embarrassment_or_withdrawal_present,0.7,
C06,CRITERION,Self-directed irritation/negative self-evaluation,self_critical_rumination,0.75,
P01,PREDICTOR,Metacognitive training: memory confidence,cognitive_confidence_recalibration,0.78,
P02,PREDICTOR,ERP with Delay to Check,delay_and_distract_urge_skills,0.82,
P03,PREDICTOR,Implementation intentions for exit,implementation_intentions_ifthen_design_routine,0.82,
P04,PREDICTOR,Door lock status indicator and auto-lock,bedroom_door_lock_function_check,0.55,
P05,PREDICTOR,Self-compassion and self-talk training,supportive_inner_voice_practice,0.78,
P06,PREDICTOR,Accountability partner support,accountability_partner_matching,0.72,
P07,PREDICTOR,Digital measurement and feedback system,activity_engagement_tracking,0.82,
P08,PREDICTOR,Sleep circadian regularization,consistent_morning_anchor_routine,0.72,
