code,role,label,ontology_id,conf,freq_hint
C01,CRITERION,Diminished positive emotional response to pleasant events,blunted_affective_reactions_to_emotional_stimuli,0.74,
C02,CRITERION,Guilt about not enjoying positive experiences,guilt,0.78,
C03,CRITERION,Behavioral autopilot / low moment-to-moment engagement,continuous,0.72,
C04,CRITERION,General emotional blunting (low affect intensity),flat_affect,0.78,
C05,CRITERION,External presentation of being 'fine' despite internal disengagement,emotion,0.75,
C06,CRITERION,Reduced motivation/interest in non-routine pleasurable activities,diminished_interest_or_pleasurable_engagement_in_activities,0.68,
P01,PREDICTOR,Behavioral Activation Scheduling (S01),behavioral_activation_scheduling,0.92,
P02,PREDICTOR,Gratitude and Savoring (S02),savoring_positive_moments_practice,0.92,
P03,PREDICTOR,Sleep Circadian Regularity / Sleep Routines,sleep_diary,0.78,
P04,PREDICTOR,Morning Light Exposure,morning_bright_light_exposure,0.86,
P05,PREDICTOR,Structured Social Reconnection and Belonging,reconnection_with_lapsed_contacts,0.78,
P06,PREDICTOR,Micro-Activation Protocol (5-min Energizers),task_initiation_cues,0.68,
