pseudoprofile_id,from_predictor_var_id,to_criterion_var_id,expected_sign,lag_spec,notes
pseudoprofile_FTC_ID002,P01,C06,+,0-24h,Behavioral activation increases subsequent motivation/interest.
pseudoprofile_FTC_ID002,P02,C01,+,0-6h,Savoring produces near-term boosts in positive reactivity.
pseudoprofile_FTC_ID002,P03,C02,-,0-24h,Self-compassion reduces guilt/self-criticism.
pseudoprofile_FTC_ID002,P04,C03,-,0-6h,Momentary presence interrupts autopilot in short windows.
pseudoprofile_FTC_ID002,P06,C03,-,0-24h,Better sleep reduces daytime automatic behavior and improves presence.
pseudoprofile_FTC_ID009,P01,C01,-,0-24h,Behavioral activation expected to reduce avoidance within hours to a day.
pseudoprofile_FTC_ID009,P02,C02,-,6-72h,Cognitive restructuring reduces belief strength over days as cognitive reframes generalize.
pseudoprofile_FTC_ID009,P03,C03,-,0-6h,Mindfulness-based interruption yields rapid decreases in rumination intensity.
pseudoprofile_FTC_ID009,P04,C05,-,0-24h,Micro-connections expected to reduce loneliness same day.
pseudoprofile_FTC_ID009,P05,C06,-,0-24h,Self-compassion practice directly reduces self-criticism.
pseudoprofile_FTC_ID009,P07,C05,-,0-24h,Support-seeking reduces loneliness if contact is effective.
pseudoprofile_FTC_ID035,P01,C02,-,0-24h,Cognitive restructuring expected to reduce catastrophic interpretations within hours to a day.
pseudoprofile_FTC_ID035,P02,C03,-,0-6h,Scheduled checking and digital hygiene should quickly reduce unplanned checking episodes and duration.
pseudoprofile_FTC_ID035,P03,C06,-,0-48h,Interoceptive exposure directly targets panic reactivity to bodily cues; effects can be immediate to several days post-session.
pseudoprofile_FTC_ID035,P04,C04,-,0-24h,Mindfulness/acceptance increases tolerance and decreases failure-to-inhibit checking.
pseudoprofile_FTC_ID035,P05,C04,-,0-24h,Inhibition/urge-control training directly targets failure to resist checking; strong immediate effects possible.
pseudoprofile_FTC_ID035,P06,C01,-,24-72h,Sleep stabilization is a slower-moving predictor reducing baseline worry across days.
pseudoprofile_FTC_ID035,P07,C05,-,0-48h,Social support and accountability can rapidly improve perceived control and reduce distress about loss of control.
pseudoprofile_FTC_ID008,P01,C01,-,0-6h,PMR expected to acutely reduce muscle tension.
pseudoprofile_FTC_ID008,P02,C02,+,0-6h,Body-scan increases momentary interoceptive awareness.
pseudoprofile_FTC_ID008,P07,C06,+,0-6h,Higher wearable clench counts indicate greater habitual bracing (measurement edge).
pseudoprofile_FTC_ID008,P03,C05,-,0-6h,Micro-breaks rapidly improve ability to relax.
pseudoprofile_FTC_ID008,P04,C04,-,0-24h,Cognitive reappraisal lowers anticipatory threat expectation over hours to a day.
pseudoprofile_FTC_ID008,P05,C01,-,0-24h,Ergonomic changes reduce tonic muscle loading and tension.
