pseudoprofile_id,predictor_var_id,criterion_var_id,relevance_score_0_1_comma5,relevance_score_0_1_float
pseudoprofile_FTC_ID002,P01,C01,"0,85000",0.85
pseudoprofile_FTC_ID002,P01,C02,"0,40000",0.4
pseudoprofile_FTC_ID002,P01,C03,"0,80000",0.8
pseudoprofile_FTC_ID002,P01,C04,"0,70000",0.7
pseudoprofile_FTC_ID002,P01,C05,"0,50000",0.5
pseudoprofile_FTC_ID002,P01,C06,"0,95000",0.95
pseudoprofile_FTC_ID002,P02,C01,"0,95000",0.95
pseudoprofile_FTC_ID002,P02,C02,"0,60000",0.6
pseudoprofile_FTC_ID002,P02,C03,"0,50000",0.5
pseudoprofile_FTC_ID002,P02,C04,"0,75000",0.75
pseudoprofile_FTC_ID002,P02,C05,"0,40000",0.4
pseudoprofile_FTC_ID002,P02,C06,"0,60000",0.6
pseudoprofile_FTC_ID002,P03,C01,"0,40000",0.4
pseudoprofile_FTC_ID002,P03,C02,"0,95000",0.95
pseudoprofile_FTC_ID002,P03,C03,"0,45000",0.45
pseudoprofile_FTC_ID002,P03,C04,"0,50000",0.5
pseudoprofile_FTC_ID002,P03,C05,"0,65000",0.65
pseudoprofile_FTC_ID002,P03,C06,"0,35000",0.35
pseudoprofile_FTC_ID002,P04,C01,"0,75000",0.75
pseudoprofile_FTC_ID002,P04,C02,"0,60000",0.6
pseudoprofile_FTC_ID002,P04,C03,"0,95000",0.95
pseudoprofile_FTC_ID002,P04,C04,"0,85000",0.85
pseudoprofile_FTC_ID002,P04,C05,"0,55000",0.55
pseudoprofile_FTC_ID002,P04,C06,"0,50000",0.5
pseudoprofile_FTC_ID002,P05,C01,"0,65000",0.65
pseudoprofile_FTC_ID002,P05,C02,"0,35000",0.35
pseudoprofile_FTC_ID002,P05,C03,"0,85000",0.85
pseudoprofile_FTC_ID002,P05,C04,"0,55000",0.55
pseudoprofile_FTC_ID002,P05,C05,"0,45000",0.45
pseudoprofile_FTC_ID002,P05,C06,"0,80000",0.8
pseudoprofile_FTC_ID002,P06,C01,"0,60000",0.6
pseudoprofile_FTC_ID002,P06,C02,"0,30000",0.3
pseudoprofile_FTC_ID002,P06,C03,"0,85000",0.85
pseudoprofile_FTC_ID002,P06,C04,"0,80000",0.8
pseudoprofile_FTC_ID002,P06,C05,"0,50000",0.5
pseudoprofile_FTC_ID002,P06,C06,"0,65000",0.65
pseudoprofile_FTC_ID002,P07,C01,"0,80000",0.8
pseudoprofile_FTC_ID002,P07,C02,"0,55000",0.55
pseudoprofile_FTC_ID002,P07,C03,"0,50000",0.5
pseudoprofile_FTC_ID002,P07,C04,"0,60000",0.6
pseudoprofile_FTC_ID002,P07,C05,"0,60000",0.6
pseudoprofile_FTC_ID002,P07,C06,"0,75000",0.75
pseudoprofile_FTC_ID002,P08,C01,"0,60000",0.6
pseudoprofile_FTC_ID002,P08,C02,"0,30000",0.3
pseudoprofile_FTC_ID002,P08,C03,"0,70000",0.7
pseudoprofile_FTC_ID002,P08,C04,"0,55000",0.55
pseudoprofile_FTC_ID002,P08,C05,"0,45000",0.45
pseudoprofile_FTC_ID002,P08,C06,"0,50000",0.5
pseudoprofile_FTC_ID009,P01,C01,"0,95000",0.95
pseudoprofile_FTC_ID009,P01,C02,"0,65000",0.65
pseudoprofile_FTC_ID009,P01,C03,"0,60000",0.6
pseudoprofile_FTC_ID009,P01,C04,"0,90000",0.9
pseudoprofile_FTC_ID009,P01,C05,"0,85000",0.85
pseudoprofile_FTC_ID009,P01,C06,"0,60000",0.6
