node,degree,strength_abs,strength_signed,betweenness,closeness,harmonic,eigenvector,pagerank,katz,hits_hub,hits_authority,clustering,core_number,constraint,effective_size,participation_coeff,module_id
P01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027272727272739182,0.26647355784447824,,,0.0,0.0,,,0.0,0
P02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027272727272739182,0.26647355784447824,,,0.0,0.0,,,0.0,1
P03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027272727272739182,0.26647355784447824,,,0.0,0.0,,,0.0,2
P04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027272727272739182,0.26647355784447824,,,0.0,0.0,,,0.0,3
P05,1.0,0.041138062410927725,-0.041138062410927725,0.0,0.007043712588568962,0.09536841626901385,0.2366256317965401,0.08738977492216984,0.2675921939740113,,,0.0,1.0,1.0,1.0,0.0,8
P06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027272727272739182,0.26647355784447824,,,0.0,0.0,,,0.0,4
P07,1.0,0.06804586598451366,-0.06804586598451366,0.0,0.008756461882762754,0.1331128399973791,0.3913989888218737,0.12671145452429639,0.26832387746807396,,,0.0,1.0,1.0,1.0,0.0,8
P08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027272727272739182,0.26647355784447824,,,0.0,0.0,,,0.0,5
C01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027272727272739182,0.26647355784447824,,,0.0,0.0,,,0.0,6
C02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027272727272739182,0.26647355784447824,,,0.0,0.0,,,0.0,7
C03,3.0,0.20293808984858547,-0.015429766942297321,0.038461538461538464,0.013937990835097143,0.20293808985158546,0.7071067811865476,0.3488912631236434,0.2719224153921177,,,0.0,1.0,0.36695005753282983,3.0,0.0,8
C04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027272727272739182,0.26647355784447824,,,0.0,0.0,,,0.0,9
C05,1.0,0.09375416145314407,0.09375416145314407,0.0,0.009750409097779807,0.1617751682954062,0.5392727898996045,0.16428023470249833,0.26902294364801843,,,0.0,1.0,1.0,1.0,0.0,8
C06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027272727272739182,0.26647355784447824,,,0.0,0.0,,,0.0,10
