enabled,directed,notes,n_nodes,n_edges,density,transitivity,avg_clustering,degree_assortativity,global_efficiency_weighted,largest_component_size,avg_shortest_path_length_weighted_lcc,diameter_weighted_lcc,n_modules,modularity,time_index,t,network
True,False,[],14,91,1.0,1.0,0.17977201475075485,,0.10727906012805155,14,11.124427857269133,1.0,4,0.09846975497095642,0,0.0,contemp_undirected
True,False,[],14,91,1.0,1.0,0.17751027815575177,,0.1063041974526303,14,11.173343091933953,1.0,4,0.10028798679609803,1,0.05263157894736842,contemp_undirected
True,False,[],14,91,1.0,1.0,0.17132885465311046,,0.10546832469674154,14,11.199065962163973,1.0,3,0.10050247696616914,2,0.10526315789473684,contemp_undirected
True,False,[],14,91,1.0,1.0,0.17490827006979187,,0.1046564252788233,14,11.248202958960142,1.0,4,0.10209748842832372,3,0.15789473684210525,contemp_undirected
True,False,[],14,91,1.0,1.0,0.1763706548965433,,0.10381431643756593,14,11.32328674572857,1.0,4,0.10766084447031553,4,0.21052631578947367,contemp_undirected
True,False,[],14,91,1.0,1.0,0.1742349369890929,,0.10306718880833021,14,11.407154796682727,1.0,4,0.11513102152030692,5,0.2631578947368421,contemp_undirected
True,False,[],14,91,1.0,1.0,0.17382726378620328,,0.10265542786244784,14,11.454644964754582,1.0,4,0.11922820863261951,6,0.3157894736842105,contemp_undirected
True,False,[],14,91,1.0,1.0,0.17793201753560436,,0.10276794400078765,14,11.42947669173085,1.0,4,0.12160875952806864,7,0.3684210526315789,contemp_undirected
True,False,[],14,91,1.0,1.0,0.18930471367095292,,0.10305368107966731,14,11.402145164755858,1.0,4,0.1201149260947654,8,0.42105263157894735,contemp_undirected
True,False,[],14,91,1.0,1.0,0.20982484374330834,,0.1037346237506989,14,11.331210218461338,1.0,4,0.11393987949940691,9,0.47368421052631576,contemp_undirected
True,False,[],14,91,1.0,1.0,0.22764987345556276,,0.10476432719487129,14,11.19505571119477,1.0,4,0.10342403792714443,10,0.5263157894736842,contemp_undirected
True,False,[],14,91,1.0,1.0,0.24333324258268757,,0.10594216943943106,14,11.037989433834559,1.0,4,0.09878708628738535,11,0.5789473684210527,contemp_undirected
True,False,[],14,91,1.0,1.0,0.2624167120299117,,0.1072299693282742,14,10.855124276974554,1.0,3,0.09377352364183807,12,0.631578947368421,contemp_undirected
True,False,[],14,91,1.0,1.0,0.2843189435199927,,0.10882845803761114,14,10.632398137135867,1.0,4,0.08723600177065424,13,0.6842105263157894,contemp_undirected
True,False,[],14,91,1.0,1.0,0.30072258585210226,,0.11050023942710757,14,10.435003583928157,1.0,3,0.08444613136655243,14,0.7368421052631579,contemp_undirected
True,False,[],14,91,1.0,1.0,0.3038507316777017,,0.11262465480229832,14,10.186656987375148,1.0,2,0.08251486188991469,15,0.7894736842105263,contemp_undirected
True,False,[],14,91,1.0,1.0,0.3018378988419161,,0.1148051729239231,14,9.95635323121088,1.0,3,0.0909371211423079,16,0.8421052631578947,contemp_undirected
True,False,[],14,91,1.0,1.0,0.2981948539339149,,0.11735046301289324,14,9.691054893890797,1.0,3,0.0948637522070939,17,0.894736842105263,contemp_undirected
True,False,[],14,91,1.0,1.0,0.29774108802208116,,0.12019042601238347,14,9.426409294218493,1.0,3,0.09851121566904227,18,0.9473684210526315,contemp_undirected
True,False,[],14,91,1.0,1.0,0.3022060676132768,,0.12322967930865299,14,9.173005950530126,1.0,3,0.10113128271182285,19,1.0,contemp_undirected
