,P01,P02,P03,P04,P05,P06,P07,P08,C01,C02,C03,C04,C05,C06
P01,0.7939135538762686,0.03680180740526438,0.028822369322112046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03150733510451524,0.0,0.0,0.0
P02,0.002557540724220692,0.8493685151175604,0.0,0.0,0.06952975837377859,0.0,0.0,0.01536768340294228,0.0,0.0,0.0,0.0,0.0,0.00019573956170000148
P03,0.13949331241637863,0.0,0.7480024022479389,0.0,0.0,0.0,0.01570270355095795,0.03810229363927164,0.013605344277255405,0.0442180390158005,0.08807102663854299,0.0,0.0,0.0
P04,0.0,0.02250950803018471,0.05417260844598868,0.6816825156473258,0.01443361593362517,0.0,0.19698082034740713,0.011240925150427145,0.02939221999913033,0.014331453789438765,0.03424965910734935,0.015445497325359953,0.0,0.0
P05,0.006311525412395202,0.00020090733145925968,0.0,0.0,0.7786986995532051,0.0,0.029101672686341964,0.0,0.0004377135211138963,0.0,0.0,0.0,0.0,0.0
P06,0.0,0.0,0.0,0.0,0.0,0.8940590446593474,0.0,0.0,0.0,0.0,0.0,0.0,0.0059728607991868295,0.0
P07,0.0,0.0,0.0,0.03479293000760323,0.017857253590226534,0.0,0.8082979832893129,0.0,0.08170437883587361,0.0,0.019675235889645964,0.0,0.0,0.0
P08,0.0,0.0,0.0,0.007728283702130024,0.03672721870656386,0.0,0.0,0.8078550320715916,0.0,0.0,0.0,0.0,0.0,0.0
C01,0.031748937519372286,0.0,0.022396766844642483,0.0,0.0,0.0,0.0,0.0,0.8451720857228284,0.03256237638586667,0.0,0.0,0.0,0.0
C02,0.011537719906574507,0.0,0.16365554519264486,0.0,0.0,0.0,0.0,0.0,0.05012210144089079,0.6682220713477722,0.0018218151825577082,0.1059927957260486,0.0,0.02159678531048881
C03,0.024221535131459918,0.06008413552001961,0.0,0.0,0.0,0.0,0.0,0.0,3.091717599010337e-05,0.0,0.8635594521055797,0.005864325969301305,0.02779800383802404,0.02065343292884464
C04,0.0,0.07317687912714735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.040650128199400774,0.10849982844076064,0.7027047694529158,0.0,0.12300576492842484
C05,0.0,-0.036149863547071635,0.0,0.0,0.0,0.23047689912739897,0.008612620749738847,0.0,0.0,0.25713719127661816,0.0,0.0,0.546617023795137,0.15748617685462046
C06,0.03189059471353961,0.0001467082733538076,0.0,0.0,0.0,0.054250672035487925,0.0,0.0018932152355955266,0.05813600178616915,0.08082502424655497,0.0,0.02712750895773098,0.0,0.6871679522879082
